Fiscal Year 2014,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
Algeria,42,246,0,31,"10,455",45,0,0,12,3,0,0,0,0,58,0,1,0,0,0,0,160,9,0,43,66,0,55,0,22,0,0,0,0,7,3,12,234,16,88,1,2,1,26,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"11,676",0,"11,676"
Angola,99,224,5,26,"6,844",824,0,0,3,137,0,7,0,0,0,0,0,0,0,0,0,986,27,0,31,158,0,10,1,5,0,0,0,0,14,13,45,66,14,0,0,0,0,66,98,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,719",0,"9,719"
Benin,45,134,1,4,"1,365",14,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,180,3,0,26,34,0,47,1,5,0,0,0,0,0,1,7,35,4,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,944",0,"1,944"
Botswana,6,60,0,5,879,4,0,0,5,1,0,3,0,0,0,0,0,0,0,1,0,87,10,0,6,36,0,25,1,5,0,0,1,2,15,0,1,84,7,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,278",0,"1,278"
Burkina Faso,29,92,3,2,"3,161",1,0,0,9,0,0,42,0,0,2,0,0,0,0,0,0,624,8,0,9,84,0,35,5,7,0,0,0,0,0,1,6,70,1,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,210",0,"4,210"
Burundi,41,65,2,1,722,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,192,1,0,15,46,0,93,1,4,0,0,0,0,0,0,7,20,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,271",0,"1,271"
Cabo Verde,9,51,0,1,"2,349",2,0,0,2,23,0,4,0,0,1,0,0,0,0,0,0,59,0,0,7,9,0,6,1,2,0,0,0,0,0,2,0,13,0,65,12,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,622",0,"2,622"
Cameroon,34,460,2,9,"6,520",16,0,0,15,12,0,2,0,0,1,0,4,0,0,0,0,682,15,0,18,123,0,132,0,72,0,0,0,0,10,16,18,156,17,96,11,0,0,26,26,3,0,0,0,0,0,0,0,1,0,0,0,2,5,1,7,0,1,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,527",0,"8,527"
Central African Republic,16,7,0,0,137,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,23,48,0,11,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,271
Chad,40,125,0,10,797,3,0,0,5,0,0,4,0,0,1,0,0,0,0,0,0,52,0,0,70,94,0,34,0,0,0,0,0,0,0,0,13,32,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,294",0,"1,294"
Comoros,5,30,1,1,126,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,9,33,0,13,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,234
"Congo, Dem. Rep. of the (Kinshasa)",18,261,0,22,"5,082",7,0,0,18,0,1,9,0,0,0,0,9,0,0,0,0,667,7,0,12,240,0,72,0,9,0,0,0,0,0,2,3,102,7,27,1,0,0,9,4,12,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,627",0,"6,627"
"Congo, Rep. of the (Brazzaville)",33,128,48,1,"1,304",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,1,0,40,109,0,28,0,0,0,0,0,0,3,1,19,35,0,5,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,004",0,"2,004"
Cote d'Ivoire,24,185,0,7,"3,928",10,0,0,8,3,1,8,0,0,1,0,0,0,0,0,0,435,6,0,39,178,0,111,6,22,0,0,0,0,0,7,20,96,6,45,10,0,0,9,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,180",0,"5,180"
Djibouti,10,95,0,3,453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,21,0,11,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,618
Egypt,193,"1,814",50,224,"47,387",87,0,0,19,925,0,4,0,0,18,0,67,0,0,0,0,"1,308",234,0,57,188,0,165,2,258,0,0,17,0,6,271,71,"1,382",561,298,7,9,3,215,357,142,0,0,0,0,0,0,0,0,0,0,0,15,0,7,1,0,31,0,0,24,32,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,"56,456",0,"56,456"
Equatorial Guinea,18,174,0,0,959,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,1,0,7,59,0,9,0,1,0,0,0,0,6,3,13,12,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,550",0,"1,550"
Eritrea,2,0,18,105,"2,332",9,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,158,1,0,3,11,0,6,0,4,0,0,0,0,0,0,0,8,0,65,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,737",0,"2,737"
Ethiopia,59,238,14,160,"10,441",20,0,0,196,0,0,20,0,0,646,2,5,0,0,0,0,895,64,0,50,83,1,423,6,36,0,0,0,0,0,14,11,173,29,290,20,1,1,9,6,6,1,0,0,0,0,0,0,0,0,0,0,6,1,0,93,0,27,1,0,8,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"14,081",0,"14,081"
Gabon,17,105,5,0,"1,163",78,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,166,2,0,9,51,0,8,0,7,0,0,0,0,3,1,9,13,0,2,0,0,0,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,659",0,"1,659"
"Gambia, The",10,110,4,2,"1,034",1,0,0,2,0,0,2,0,0,9,0,1,0,0,0,0,109,2,0,11,99,0,33,0,6,0,0,0,0,0,1,6,24,1,29,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,511",0,"1,511"
Ghana,43,385,3,19,"11,909",29,0,0,23,116,1,11,0,0,1,0,0,0,0,0,0,934,81,0,34,236,0,149,2,127,0,0,0,0,9,48,43,467,20,265,49,13,1,24,18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,26,0,0,59,4,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,"15,171",0,"15,171"
Guinea,21,82,0,113,"1,947",362,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,67,1,0,7,48,0,22,0,2,0,0,0,0,0,0,26,36,2,37,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2,845",0,"2,845"
Guinea-Bissau,2,11,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,28,0,14,0,0,0,0,0,0,0,0,2,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,158
Kenya,70,"1,564",9,60,"14,927",26,0,0,39,348,0,17,0,0,2,1,1,0,0,0,0,"1,196",43,0,44,387,0,546,12,153,0,0,0,0,1,40,31,425,30,152,33,1,0,39,19,22,3,0,0,0,0,0,0,0,0,0,0,3,0,0,57,0,13,2,0,39,5,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,"20,364",0,"20,364"
Lesotho,7,28,0,1,139,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,22,0,0,5,28,0,6,0,2,0,0,0,0,0,0,4,33,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,288,0,288
Liberia,33,275,1,57,"3,673",10,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,145,15,0,21,67,0,47,0,1,0,0,0,0,0,0,3,73,4,123,36,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,613",0,"4,613"
Libya,174,246,0,29,"1,792",34,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,"1,002",963,0,108,62,0,16,0,17,0,0,0,0,9,30,0,150,73,9,0,1,0,10,8,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,766",0,"4,766"
Madagascar,42,52,0,6,907,1,0,0,49,0,0,6,0,0,228,0,1,0,0,0,0,70,6,0,30,66,0,114,2,22,0,0,0,0,0,3,5,45,6,14,2,0,0,6,0,11,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,26,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,731",0,"1,731"
Malawi,12,104,0,17,902,6,0,0,10,4,0,4,0,0,0,0,0,0,0,0,0,78,24,0,7,83,0,46,2,7,0,0,0,0,0,1,6,113,6,6,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,449",0,"1,449"
Mali,44,82,1,6,"1,927",24,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,180,2,0,9,53,0,38,0,9,0,0,0,0,0,1,8,91,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,14,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,554",0,"2,554"
Mauritania,20,166,1,1,"1,319",3,0,0,1,0,0,1,0,0,13,0,0,0,0,0,0,96,2,0,18,91,0,38,1,2,0,0,0,0,0,2,16,45,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,844",0,"1,844"
Mauritius,2,41,1,4,"1,898",86,0,0,1,521,0,3,0,0,1,0,1,0,0,0,0,83,2,0,1,33,0,32,1,27,0,0,0,0,0,6,2,64,8,6,1,0,0,13,14,7,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,870",0,"2,870"
Morocco,22,"1,758",31,103,"15,163",52,0,0,5,533,0,0,0,0,23,1,17,0,0,0,0,765,14,0,43,120,0,96,8,58,0,0,0,0,0,16,28,536,29,251,7,8,0,18,19,13,1,0,0,0,0,0,0,0,0,0,0,3,1,0,9,0,2,2,47,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"19,805",0,"19,805"
Mozambique,41,223,3,2,"1,576",0,0,0,46,5,0,10,0,0,0,0,0,0,0,0,0,55,2,0,25,51,0,57,1,2,0,0,0,0,9,0,24,68,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,214",0,"2,214"
Namibia,13,110,2,30,863,4,0,0,6,25,0,10,0,0,1,0,0,0,0,0,0,41,4,0,6,55,0,5,1,5,0,0,3,1,0,5,3,50,3,6,0,0,0,4,0,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,276",0,"1,276"
Niger,29,150,9,10,679,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,87,2,0,39,102,0,75,1,2,0,0,0,0,0,0,0,61,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,265",0,"1,265"
Nigeria,291,"1,461",10,112,"124,805","5,229",0,0,78,158,0,29,0,0,12,0,1,0,0,1,0,"5,187",326,0,118,280,0,289,3,469,0,0,0,0,23,113,123,693,112,582,42,11,0,178,258,257,8,0,0,0,0,0,0,0,0,0,0,11,0,3,23,0,49,3,2,143,29,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,"141,527",0,"141,527"
Rwanda,5,279,3,5,"1,437",8,0,0,14,3,0,22,0,0,0,0,0,0,0,0,0,468,16,0,18,10,0,56,0,8,0,0,0,0,1,4,1,81,2,18,0,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,2,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"2,494",0,"2,494"
Sao Tome and Principe,7,20,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,76
Senegal,58,203,2,15,"3,342",15,0,0,2,0,0,15,0,0,13,0,2,0,0,0,0,303,1,0,56,102,0,144,6,34,0,0,0,0,0,12,24,165,11,54,2,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,4,13,1,19,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,654",0,"4,654"
Seychelles,6,29,0,15,99,12,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,4,0,0,1,22,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,218,0,218
Sierra Leone,15,95,0,7,"1,502",121,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,72,4,0,19,47,0,48,3,3,0,0,0,0,0,1,3,44,8,63,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2,095",0,"2,095"
Somalia,13,13,0,3,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,3,9,1,13,0,0,0,0,0,0,0,0,0,11,0,50,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,352
South Africa,71,584,12,175,"46,682","1,419",0,0,63,"2,247",0,55,0,0,1,1,15,0,0,4,0,806,37,0,18,150,0,177,2,248,0,0,"1,591","1,779",11,157,82,"1,901",56,97,9,1,0,739,507,87,15,0,0,0,0,0,0,0,0,0,0,121,72,35,90,1,48,8,28,25,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"60,238",0,"60,238"
South Sudan,58,106,0,2,231,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,33,55,0,11,0,3,0,0,0,0,0,0,2,45,0,35,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,637
Sudan,53,54,104,313,"2,236","1,436",0,0,17,0,0,0,0,0,21,0,0,0,0,0,0,200,8,0,47,117,0,73,0,11,0,0,0,0,0,10,7,96,23,30,0,1,0,1,1,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,872",0,"4,872"
Swaziland,16,40,0,1,275,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,44,2,0,10,23,0,13,0,5,0,0,0,0,0,0,5,26,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,472
Tanzania,77,539,0,104,"3,970",475,0,0,31,98,0,24,0,0,3,0,0,0,0,0,0,384,14,0,52,357,1,109,2,41,0,0,0,0,6,8,6,209,13,23,2,0,0,5,1,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,26,0,5,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"6,637",0,"6,637"
Togo,22,105,1,2,"1,262",10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,20,37,0,30,0,3,0,0,0,0,0,0,16,44,7,36,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,688",0,"1,688"
Tunisia,41,552,3,38,"6,026",35,0,0,7,250,0,2,0,0,4,0,11,0,0,0,0,345,4,0,7,62,0,60,0,21,0,0,0,0,0,6,12,474,26,47,0,0,0,14,21,22,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"8,100",0,"8,100"
Uganda,18,573,5,7,"4,087",16,0,0,22,0,0,15,0,0,17,0,0,0,0,0,0,434,18,0,36,183,0,237,9,36,0,0,0,0,2,8,20,245,21,79,13,0,0,10,3,7,1,0,0,0,0,0,0,0,0,0,0,3,1,1,20,0,372,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,539",0,"6,539"
Zambia,10,203,1,147,"1,971",38,0,0,32,11,0,19,0,0,1,0,2,0,0,0,0,132,9,0,19,122,0,156,3,16,0,0,0,1,1,4,22,134,12,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"3,093",0,"3,093"
Zimbabwe,61,34,6,29,"5,319",17,0,0,190,0,0,0,0,0,276,0,1,0,0,0,0,510,6,0,47,137,0,223,6,71,0,0,0,3,0,10,9,217,20,11,6,0,0,49,26,10,0,0,0,0,0,0,0,0,0,0,0,7,0,4,10,1,27,0,12,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"7,358",0,"7,358"
Afghanistan,138,544,0,8,"2,444",56,0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,270,22,0,24,42,0,76,0,10,0,0,0,0,0,1,2,393,13,332,8,2,0,4,8,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,421",0,"4,421"
Bahrain,18,161,0,1,"3,922",517,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,188,26,0,5,25,0,2,0,12,0,0,0,0,0,3,0,82,12,2,4,0,0,6,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,034",0,"5,034"
Bangladesh,27,588,14,57,"28,559",38,0,0,88,"1,103",0,12,48,73,1,0,5,0,0,1,0,"2,137",474,0,107,231,0,292,3,188,0,0,0,0,1,147,82,346,103,21,1,1,0,51,83,11,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,98,0,0,5,0,0,0,0,0,17,0,1,4,0,0,0,0,1,3,0,0,"35,025",0,"35,025"
Bhutan,1,106,0,0,525,0,0,0,1,3,0,21,0,0,0,0,0,0,0,0,0,67,9,0,16,34,0,62,1,8,0,0,0,0,0,5,0,37,8,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,920
Brunei,15,185,16,1,31,0,0,0,0,17,0,15,0,0,0,0,0,0,0,0,0,29,1,0,17,75,0,0,1,0,0,0,0,0,0,0,8,61,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,480
Burma,52,186,0,"1,184",502,"2,075",0,0,757,0,0,5,3,1,"2,968",0,1,0,0,0,0,797,23,0,29,27,0,84,4,33,0,0,0,0,2,7,10,210,10,98,4,0,0,7,9,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,131",0,"9,131"
Cambodia,16,133,1,61,"2,939",7,0,0,44,0,0,13,0,0,15,0,0,0,0,0,0,446,6,0,40,104,0,37,1,11,0,0,0,0,0,2,3,137,3,227,13,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,331",0,"4,331"
"China, People's Republic",468,"1,931",3,297,"1,403,617",555,0,0,"2,047","18,699",0,815,231,35,231,9,53,9,0,23,0,"244,927","4,040",0,143,515,0,667,4,"14,871",0,0,0,0,221,"3,678",962,"38,024","14,766","1,910",258,7,2,"4,500","4,214","1,983",19,0,0,0,0,0,0,0,0,0,0,346,43,134,"1,154",0,750,5,260,51,11,0,0,0,0,73,0,1,2,3,1,0,4,10,14,0,0,"1,767,596",0,"1,767,596"
Taiwan,0,0,0,52,"6,096",18,0,0,147,"2,931",0,1,0,0,0,673,361,0,0,4,0,"9,731",352,0,2,0,0,16,1,"1,505",0,0,0,1,53,433,117,"4,142",537,126,13,4,0,441,474,262,6,0,0,0,0,0,0,0,0,0,0,66,171,15,150,0,45,9,1,94,15,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,"29,084",0,"29,084"
Hong Kong S.A.R.,0,2,0,123,"46,844",5,0,0,5,"1,003",0,0,4,0,0,0,4,3,0,1,0,"2,871",51,0,0,0,0,18,0,254,0,0,0,0,11,61,102,"1,077",61,50,14,0,0,72,87,44,0,0,0,0,0,0,0,0,0,0,0,33,162,8,66,0,8,0,32,35,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"53,118",0,"53,118"
India,174,"2,338",55,"1,067","452,525",747,0,0,"1,699","33,724",0,474,7,5,31,0,22,2,0,129,0,"56,653","2,017",0,119,470,0,979,23,"108,817",0,0,0,2,372,"85,900",312,"7,303","1,950",868,23,21,0,"20,197","24,757",536,8,0,0,0,0,0,0,0,0,0,0,276,46,118,18,1,"2,183",20,5,733,309,0,0,0,0,76,0,35,67,0,0,0,6,22,45,1,0,"808,287",0,"808,287"
Indonesia,191,"2,263",55,819,"47,535",49,0,0,149,"10,760",0,60,2,0,0,0,2,0,0,10,0,"2,576",180,0,166,423,0,255,16,453,0,0,0,0,22,109,97,"1,221",213,187,15,3,0,269,394,158,2,0,0,0,0,0,0,0,0,0,0,17,2,8,4,0,44,1,2,17,10,0,0,0,0,0,0,1,2,0,0,0,1,2,2,1,0,"68,768",0,"68,768"
Iran,0,2,3,447,"18,921","8,091",0,0,43,6,0,0,0,0,2,0,48,0,0,0,0,"3,280",558,0,99,233,0,194,2,170,0,0,0,1,1,103,20,730,313,515,32,2,0,29,22,14,0,0,0,0,0,0,0,0,0,0,0,22,5,10,5,0,17,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,"33,961",0,"33,961"
