Fiscal Year 2014,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
Norway,48,308,1,57,"2,007",4,0,0,4,"1,196",0,0,0,0,0,49,192,0,0,1,0,"2,558",70,0,18,209,0,110,1,68,0,0,0,3,15,22,136,"2,162",238,32,0,0,0,189,234,271,15,0,3,158,1,6,0,1,0,0,0,111,29,26,136,0,12,1,169,16,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"10,898",0,"10,898"
Poland,46,313,0,521,"77,882",44,0,0,155,"2,600",0,3,0,0,0,4,103,0,0,5,0,701,17,0,23,73,12,43,2,287,0,0,2,53,77,166,138,"4,681",227,142,12,3,1,433,340,25,1,0,0,367,0,5,4,31,0,0,0,117,9,19,408,0,87,3,0,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"90,245",0,"90,245"
Portugal,18,88,0,73,"1,630",2,0,0,1,"1,643",0,4,0,0,0,0,14,0,0,2,0,551,19,0,10,25,7,65,0,168,0,0,1,8,3,50,37,710,66,35,1,1,0,266,256,44,1,0,3,42,0,2,0,1,0,0,0,87,14,29,53,0,18,3,0,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"6,065",0,"6,065"
Romania,68,255,5,717,"28,520",48,0,0,141,"5,692",0,1,0,0,2,3,40,0,0,2,0,406,26,0,14,84,5,100,2,291,0,0,195,471,2,92,88,"5,275",51,214,23,6,0,172,134,20,4,0,2,211,0,8,0,0,0,0,0,40,5,7,43,1,37,8,0,14,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"43,558",0,"43,558"
Russia,302,"1,417",0,471,"206,049",118,0,0,198,"15,888",0,16,13,1,0,6,21,0,0,3,0,"6,214",286,0,344,338,0,670,2,735,0,0,0,23,27,632,402,"6,079",205,705,123,4,2,872,918,188,9,0,0,0,0,0,0,0,0,0,0,312,25,84,"1,475",1,321,64,1,47,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,"245,638",0,"245,638"
San Marino,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19
Serbia  ,12,123,0,32,"10,679",44,0,0,23,"2,185",0,0,0,0,0,2,20,0,0,0,0,726,9,0,7,44,0,72,1,214,0,0,1,152,2,56,41,"3,020",41,101,2,1,0,63,58,6,0,0,0,1,0,0,0,0,0,0,0,75,10,9,138,0,71,4,1,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,"18,061",0,"18,061"
Slovakia,20,126,1,19,524,28,0,0,8,300,0,0,0,0,0,0,32,0,0,0,0,348,11,0,12,32,1,31,0,80,0,0,0,78,0,26,16,"3,162",26,26,1,0,0,116,80,9,0,0,0,8,0,0,0,0,0,0,0,33,2,3,31,0,0,2,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"5,202",0,"5,202"
Slovenia,11,34,0,6,327,1,0,0,0,139,0,1,0,0,0,3,27,0,0,0,0,157,8,0,5,21,1,17,0,33,0,0,0,11,1,6,6,261,39,6,0,0,0,27,15,3,0,0,0,53,0,0,0,1,0,0,0,15,0,0,27,0,15,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,280",0,"1,280"
Spain,92,506,3,826,"3,997",87,0,0,17,"2,803",0,4,0,0,1,100,"1,480",0,0,6,0,"4,628",166,0,33,64,22,589,6,977,0,0,0,52,17,321,364,"7,970","1,104",171,7,3,1,"1,274","1,471",121,3,0,0,172,0,10,4,0,0,0,0,415,112,133,288,1,194,43,35,53,13,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,"30,785",0,"30,785"
Sweden,28,940,2,275,"1,668",142,0,0,6,"1,046",0,3,0,0,0,25,529,0,0,12,0,"2,758",39,0,25,114,12,142,1,242,0,0,2,16,4,92,135,"3,060",255,102,2,2,0,619,627,200,9,0,0,0,0,0,0,0,0,0,0,290,149,84,390,1,7,17,1,20,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"14,100",0,"14,100"
Switzerland,39,329,0,154,"2,306",17,0,0,1,556,0,0,0,0,0,25,231,0,0,4,0,"3,532",33,0,27,13,1,168,0,167,0,0,3,2,6,42,112,"1,497",169,35,4,1,0,372,302,222,14,0,0,0,0,0,0,0,0,0,0,122,17,36,106,0,10,4,0,16,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,"10,703",0,"10,703"
Tajikistan,9,107,1,2,794,2,0,0,3,1,0,5,0,0,1,0,0,0,0,0,0,151,19,0,18,68,0,74,0,14,0,0,0,0,0,7,4,182,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,498",0,"1,498"
Turkey,132,"1,112",4,104,"75,404",231,0,0,40,"4,189",0,40,0,0,3,57,422,0,0,0,0,"6,973",276,0,29,254,0,92,5,"1,040",0,0,0,67,4,353,169,"7,493","1,050",117,3,1,0,185,134,218,17,0,4,452,0,29,0,3,0,0,0,65,12,24,10,0,16,2,7,10,26,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,"100,884",0,"100,884"
Turkmenistan,7,50,0,32,"1,036",3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,222,14,0,12,13,0,29,0,11,0,0,0,0,0,5,4,193,10,8,2,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,676",0,"1,676"
Ukraine,67,235,2,317,"41,600","1,077",0,0,66,"9,588",0,1,0,0,0,0,29,0,0,0,0,956,71,0,24,60,0,116,2,311,0,0,79,123,1,345,74,"5,311",79,992,235,0,0,391,327,41,0,0,0,0,0,0,0,0,0,0,0,81,6,13,224,0,43,29,0,28,19,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,"62,976",0,"62,976"
Uzbekistan,55,139,1,13,"6,695",8,0,0,26,270,0,1,0,0,0,0,2,0,0,0,0,318,87,0,14,26,0,103,0,45,0,0,0,0,1,29,0,545,24,82,17,1,1,16,43,1,1,0,0,0,0,0,0,0,0,0,0,7,0,1,5,0,30,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,"8,613",0,"8,613"
Vatican City,4,14,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
Antigua and Barbuda,13,28,0,0,"1,730",354,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,66,0,0,1,0,0,6,0,5,0,0,0,7,0,7,0,15,2,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,277",0,"2,277"
"Bahamas, The",40,112,1,1,"8,206",2,0,0,7,116,0,49,0,0,2,0,0,0,0,0,0,"1,033",19,0,12,3,0,14,0,113,0,0,0,0,0,16,8,32,8,16,1,1,0,21,11,57,1,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,929",0,"9,929"
Barbados,19,64,0,0,"6,908","1,476",0,0,46,49,0,10,0,0,0,0,0,0,0,0,0,129,1,0,2,0,0,32,0,27,0,0,0,3,0,3,2,43,2,10,2,0,0,7,7,10,0,0,0,0,0,0,0,0,0,0,0,5,3,0,21,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"8,887",0,"8,887"
Belize,5,116,0,1,"4,703",0,0,0,90,63,0,120,0,0,0,0,0,0,0,0,0,127,1,0,1,1,0,5,0,17,0,0,6,118,1,12,0,54,4,21,4,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"5,484",0,"5,484"
Canada,199,126,0,33,259,12,0,0,3,14,0,0,1,0,0,446,"2,590",0,0,39,0,241,24,1,26,24,0,649,1,44,0,0,1,0,1,86,39,113,63,966,62,7,0,110,206,15,0,0,2,593,0,3,0,6,0,0,0,21,13,15,18,0,12,1,1,10,12,0,0,0,67,20,0,0,0,0,0,0,1,0,0,0,0,"7,196",0,"7,196"
Costa Rica,44,180,0,17,"47,155",15,0,0,37,259,0,67,0,0,0,4,9,0,0,0,0,516,23,0,15,22,0,123,2,92,0,0,99,255,9,41,22,435,28,111,33,1,1,254,223,16,0,0,0,0,0,0,0,0,0,0,0,18,0,4,82,0,0,1,0,13,6,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,"50,237",0,"50,237"
Cuba,107,54,0,"2,557","2,069","35,040",0,0,10,8,0,1,0,0,0,0,2,0,0,1,0,32,2,0,105,102,0,44,0,2,0,0,0,0,0,0,8,63,2,263,46,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,28,0,285,0,122,1,0,10,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"41,001",0,"41,001"
Dominica,5,22,0,2,924,142,0,0,5,82,0,11,0,0,0,0,0,0,0,0,0,92,0,0,0,1,0,5,0,12,0,0,0,0,0,3,0,9,0,14,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,345",0,"1,345"
Dominican Republic,30,365,9,353,"53,569",275,0,0,268,700,0,20,0,0,5,0,6,0,0,1,0,774,26,0,11,12,0,66,10,132,0,0,103,145,1,61,169,"1,304",30,"1,413",424,3,1,52,95,11,0,0,0,0,0,0,0,0,0,0,0,43,21,20,"1,307",0,3,75,0,33,8,0,0,0,0,2,0,1,4,0,0,0,0,0,36,0,0,"61,997",0,"61,997"
El Salvador,105,603,4,517,"32,457",734,0,0,145,336,0,119,0,0,0,0,1,0,0,1,0,393,11,0,21,44,2,91,6,81,0,0,27,549,2,39,15,300,11,232,52,6,1,35,52,9,1,0,0,0,0,0,0,0,0,0,0,5,1,4,70,0,0,3,0,25,4,0,0,0,0,2,0,0,24,3,3,0,5,16,308,2,5,"37,482",0,"37,482"
Grenada,8,37,0,2,"1,644",306,0,0,1,307,0,20,0,0,0,0,0,0,0,0,0,59,1,0,2,2,0,4,0,26,0,0,0,0,0,1,0,15,1,10,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"2,456",0,"2,456"
Guatemala,60,239,3,126,"55,353",13,0,0,86,201,0,97,0,0,0,0,1,0,0,0,0,489,20,0,17,14,1,69,12,76,0,0,"1,453","3,304",2,48,36,297,11,123,25,1,0,37,67,23,4,0,0,0,0,0,0,0,0,0,0,10,1,0,88,0,1,1,0,36,12,0,0,0,0,0,0,1,7,4,1,0,12,12,306,6,12,"62,818",0,"62,818"
Haiti,58,209,2,29,"30,885",28,0,0,192,274,0,222,0,0,0,0,0,0,0,0,0,344,6,0,14,63,0,54,2,17,0,0,15,6,0,5,41,156,6,514,104,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,1,12,4,100,0,0,17,4,0,0,0,0,0,0,3,9,0,0,0,0,1,4,0,0,"33,410",0,"33,410"
Honduras,163,296,6,757,"32,355","8,697",0,0,203,"1,835",0,29,0,0,4,31,46,0,0,0,0,711,16,0,13,9,0,46,9,88,0,0,525,637,2,59,50,238,25,174,45,3,1,28,36,5,0,0,0,0,0,0,0,0,0,2,0,3,0,2,94,0,12,3,0,32,14,0,0,0,0,5,0,0,14,2,2,0,4,0,209,2,6,"47,548",0,"47,548"
Jamaica,22,167,1,332,"66,523",297,0,0,316,"1,652",0,174,0,0,1,0,5,0,0,0,0,954,41,0,12,12,0,78,1,185,0,0,3,"6,152",0,65,17,"4,518",111,474,130,7,6,14,15,16,0,0,0,0,0,0,0,0,0,0,0,38,221,11,167,1,82,0,0,6,6,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,2,"82,844",0,"82,844"
Mexico,542,"2,553",28,"3,941","33,897","1,247","1,200,413","32,471",353,"2,698",0,34,0,0,8,"1,154","2,707",0,0,6,0,"8,931",689,402,103,243,1,873,15,"3,243",0,0,"83,674","50,045",81,"2,687",784,"7,746",452,"1,670",390,26,15,"4,314","5,609",313,55,0,0,2,0,0,0,0,0,0,0,433,741,145,"3,321",2,88,86,124,375,66,0,0,0,"11,140","6,694",0,1,14,4,6,0,80,52,557,25,32,"1,478,401",0,"1,478,401"
Nicaragua,18,103,3,204,"17,142",28,0,0,423,504,0,179,0,0,0,0,0,0,0,0,0,143,8,0,7,16,0,45,5,36,0,0,318,106,2,20,16,111,4,133,15,3,0,10,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,0,0,0,9,4,0,0,0,0,1,0,0,2,0,0,0,3,1,19,1,1,"19,712",0,"19,712"
Panama,52,527,1,117,"20,311","5,406",0,0,117,"1,005",0,96,0,0,0,0,7,0,0,0,0,668,9,0,17,53,0,29,4,41,0,0,1,64,0,27,25,195,11,45,8,0,0,28,26,41,2,0,0,0,0,0,0,0,0,1,0,5,12,0,42,0,0,1,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,"29,003",0,"29,003"
Saint Kitts and Nevis,3,28,0,2,"1,463",273,0,0,5,6,0,18,0,0,0,0,2,0,0,0,0,93,2,0,3,0,0,6,0,10,0,0,0,0,0,0,1,6,1,5,1,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,942",0,"1,942"
Saint Lucia,8,29,0,28,"2,076",429,0,0,10,440,0,7,0,0,0,0,0,0,0,0,0,63,0,0,3,0,1,9,0,21,0,0,0,0,0,2,0,16,0,10,3,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"3,170",0,"3,170"
Saint Vincent and the Grenadines,5,23,0,97,"1,354",219,0,0,14,433,0,17,0,0,0,0,0,0,0,0,0,24,2,0,0,1,0,4,0,5,0,0,0,0,0,1,0,12,1,6,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,230",0,"2,230"
Trinidad and Tobago,25,175,1,21,"27,987",17,0,0,59,209,0,70,0,0,2,0,19,0,0,1,0,500,6,0,5,34,0,111,1,177,0,0,0,0,8,34,9,122,12,39,7,2,1,138,97,61,0,0,0,0,0,0,0,0,0,0,0,6,1,1,125,0,70,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"30,159",0,"30,159"
Australia,98,"3,881",3,170,"8,356",47,0,0,40,"2,097",0,275,2,0,0,21,327,0,"4,492","2,526","1,259","2,492",88,0,17,58,0,241,0,424,0,0,28,46,8,185,352,"5,502",258,391,24,10,1,"1,423","1,374",283,31,0,0,0,0,0,0,0,0,0,1,651,231,105,734,4,36,24,4,74,20,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,"38,729",0,"38,729"
Fiji,11,61,0,4,"3,216",14,0,0,280,163,0,59,1,0,0,0,0,0,0,2,0,27,4,0,5,9,0,38,0,3,0,0,0,0,0,3,7,39,9,15,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,1,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,002",0,"4,002"
Kiribati,13,63,0,1,76,0,0,0,6,361,0,11,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,6,0,1,0,0,0,2,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,582
Marshall Islands,4,2,0,0,23,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58
"Micronesia, Federated States of",1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
Nauru,6,26,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49
New Zealand,44,936,1,76,"2,397",26,0,0,8,630,0,661,0,0,1,1,9,1,0,53,0,612,22,0,22,78,0,55,0,253,0,0,91,50,3,107,71,"1,856",78,92,3,0,0,348,299,61,16,0,0,0,0,0,0,0,0,0,0,142,44,34,150,0,18,11,0,64,6,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,"9,437",0,"9,437"
Palau,4,5,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35
Papua New Guinea,17,78,0,24,640,11,0,0,52,0,0,11,0,0,23,0,0,0,0,0,0,96,7,0,8,36,0,25,0,1,0,0,0,0,0,0,1,39,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"1,084",0,"1,084"
Samoa,0,19,0,70,666,2,0,0,15,120,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,5,1,0,0,0,0,0,0,0,0,23,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,0,987
Solomon Islands,3,15,0,2,68,0,0,0,17,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,136
Tonga,5,96,1,6,967,12,0,0,6,23,0,10,0,0,0,0,0,0,0,0,0,7,1,0,0,4,0,7,2,0,0,0,0,0,0,0,0,38,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,310",0,"1,310"
Tuvalu,9,19,0,0,8,0,0,0,3,28,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,89
Vanuatu,8,15,0,0,27,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92
Argentina,38,"1,065",1,133,"217,861",106,0,0,80,821,0,748,0,0,0,67,536,0,0,3,0,"1,293",98,0,48,158,0,668,7,434,0,0,2,75,17,280,112,"3,836",192,92,7,1,1,756,918,45,1,0,0,0,0,0,0,0,0,0,0,203,63,81,314,0,125,87,1,22,5,0,0,0,0,9,0,0,0,0,0,0,2,0,4,0,0,"231,416",0,"231,416"
Bolivia,45,108,3,73,"16,338",15,0,0,86,215,0,50,0,0,0,4,5,0,0,1,0,467,16,0,36,40,0,179,14,74,0,0,0,3,2,36,22,339,12,37,9,0,0,31,39,9,0,0,0,0,0,0,0,0,0,0,0,3,1,3,7,0,12,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"18,353",0,"18,353"
Brazil,229,"3,361",25,"3,086","1,021,561",196,0,0,245,"2,072",0,"3,669",0,0,37,3,63,0,0,11,0,"14,371","1,442",0,89,298,0,375,44,"1,352",0,0,13,35,87,756,619,"21,887","1,334",575,91,8,0,"2,654","3,084",322,16,0,0,1,0,0,0,0,0,0,0,895,147,221,998,0,124,73,152,158,88,0,0,0,0,15,0,0,1,0,0,0,5,5,12,1,0,"1,086,906",0,"1,086,906"
Chile,85,"1,301",0,315,"32,106",33,0,0,137,735,0,765,0,0,0,15,51,0,0,2,0,"1,898",402,0,87,121,0,149,4,156,398,0,22,16,3,453,90,"2,063",345,65,2,0,0,167,253,44,0,0,0,0,0,0,0,0,0,0,0,46,12,24,24,0,11,4,0,21,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"42,440",0,"42,440"
Colombia,117,"4,175",14,685,"436,769",239,0,0,439,"1,265",0,133,0,0,1,84,322,0,0,3,0,"6,435",263,0,54,43,0,511,37,714,0,0,0,6,19,307,112,"4,271",273,"1,088",357,16,5,430,510,392,2,0,0,0,0,0,0,0,0,0,0,136,34,52,439,0,14,17,3,99,12,0,0,0,0,17,0,0,0,0,0,0,0,1,11,0,0,"460,926",0,"460,926"
Ecuador,87,557,4,213,"156,638",77,0,0,192,610,0,109,0,0,5,1,17,0,0,0,0,"1,673",88,0,31,67,0,144,18,150,0,0,2,9,5,60,105,"2,032",57,231,63,8,1,65,106,126,3,0,0,0,0,0,0,0,0,0,1,17,3,4,63,0,31,0,0,16,0,0,0,0,0,4,0,0,1,2,0,0,6,6,143,1,2,"163,854",0,"163,854"
Guyana,6,65,0,3,"17,135",44,0,0,161,221,0,59,0,0,51,0,0,0,0,0,0,79,2,0,0,0,0,54,0,14,0,0,0,0,0,4,5,29,2,93,22,1,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"18,074",0,"18,074"
Paraguay,31,182,1,191,"10,039",6,0,0,24,21,0,188,0,0,0,1,4,0,0,0,0,307,11,0,24,146,0,56,10,22,0,0,0,0,0,9,8,399,13,18,0,0,0,5,4,8,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"11,745",0,"11,745"
Peru,68,789,14,"1,016","69,982","18,197",0,0,337,"1,482",0,381,0,0,0,0,6,0,0,0,0,"1,267",65,0,67,47,0,240,51,291,0,0,790,12,1,104,89,"4,187",60,432,97,3,1,91,111,74,2,0,0,0,0,0,0,0,0,0,0,34,9,21,37,3,169,5,2,36,3,0,0,0,0,8,0,3,14,0,0,0,3,2,20,2,1,"100,726",0,"100,726"
Suriname,11,113,0,5,"4,818",0,0,0,8,20,0,90,0,0,0,5,0,0,0,0,0,32,0,0,3,106,0,8,0,4,0,0,0,0,0,0,3,19,0,4,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,260",0,"5,260"
Uruguay,32,268,2,48,"27,376",13,0,0,24,68,0,9,0,0,0,2,11,0,0,0,0,177,8,0,11,29,0,120,5,58,0,0,37,2,1,18,17,180,28,18,3,0,0,55,55,3,0,0,0,0,0,0,0,0,0,0,0,15,2,3,8,0,24,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"28,738",0,"28,738"
Venezuela,71,39,3,"2,214","156,092",208,0,0,133,568,0,4,0,0,5,0,196,0,0,0,0,"9,164",414,0,54,221,0,173,2,664,0,0,0,0,6,444,55,388,63,86,21,3,1,713,"1,092",91,12,0,0,0,0,0,0,0,0,0,0,115,301,97,816,4,12,149,1,23,7,0,0,0,0,12,0,0,0,0,0,0,2,0,2,0,0,"174,741",0,"174,741"
