Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,Region and country of last residence,Location code of origin,Total
26168,   Germany,,276,B,   Afghanistan,4,96625
26169,   Germany,,276,B,   Albania,8,28278
26170,   Germany,,276,B,   Algeria,12,7135
26171,   Germany,,276,B,   Angola,24,668
26172,   Germany,,276,B,   Argentina,32,10821
26173,   Germany,,276,B,   Armenia,51,13400
26174,   Germany,,276,B,   Australia*,36,7155
26175,   Germany,,276,B,   Austria,40,144926
26176,   Germany,,276,B,   Azerbaijan*,31,13162
26177,   Germany,,276,B,   Bangladesh,50,3889
26178,   Germany,,276,B,   Belarus,112,19910
26179,   Germany,,276,B,   Belgium,56,19266
26180,   Germany,,276,B,   Benin,204,866
26181,   Germany,,276,B,   Bolivia (Plurinational State of),68,3359
26182,   Germany,,276,B,   Bosnia and Herzegovina,70,110125
26183,   Germany,,276,B,   Brazil,76,48201
26184,   Germany,,276,B,   Bulgaria,100,155971
26185,   Germany,,276,B,   Burkina Faso,854,637
26186,   Germany,,276,B,   Burundi,108,358
26187,   Germany,,276,B,   Cambodia,116,1856
26188,   Germany,,276,B,   Cameroon,120,9653
26189,   Germany,,276,B,   Canada,124,11197
26190,   Germany,,276,B,   Chad,148,213
26191,   Germany,,276,B,   Chile,152,9224
26192,   Germany,,276,B,   China*,156,77572
26193,   Germany,,276,B,   Colombia,170,15437
26194,   Germany,,276,B,   Congo,178,2376
26195,   Germany,,276,B,   Costa Rica,188,1121
26196,   Germany,,276,B,   C̫te d'Ivoire,384,1570
26197,   Germany,,276,B,   Croatia,191,195963
26198,   Germany,,276,B,   Cuba,192,9486
26199,   Germany,,276,B,   Cyprus*,196,1294
26200,   Germany,,276,B,   Czechia,203,349964
26201,   Germany,,276,B,   Dem. People's Republic of Korea,408,2049
26202,   Germany,,276,B,   Democratic Republic of the Congo,180,4762
26203,   Germany,,276,B,   Denmark*,208,15881
26204,   Germany,,276,B,   Dominican Republic,214,8486
26205,   Germany,,276,B,   Ecuador,218,5689
26206,   Germany,,276,B,   Egypt,818,7712
26207,   Germany,,276,B,   El Salvador,222,841
26208,   Germany,,276,B,   Eritrea,232,25583
26209,   Germany,,276,B,   Estonia,233,8238
26210,   Germany,,276,B,   Ethiopia,231,11141
26211,   Germany,,276,B,   Finland*,246,12847
26212,   Germany,,276,B,   France*,250,86563
26213,   Germany,,276,B,   Gabon,266,237
26214,   Germany,,276,B,   Gambia,270,2885
26215,   Germany,,276,B,   Georgia*,268,15242
26216,   Germany,,276,B,   Ghana,288,16509
26217,   Germany,,276,B,   Greece,300,181275
26218,   Germany,,276,B,   Guatemala,320,1208
26219,   Germany,,276,B,   Guinea,324,2760
26220,   Germany,,276,B,   Haiti,332,982
26221,   Germany,,276,B,   Honduras,340,999
26222,   Germany,,276,B,   Hungary,348,99537
26223,   Germany,,276,B,   Iceland,352,1024
26224,   Germany,,276,B,   India,356,39955
26225,   Germany,,276,B,   Indonesia,360,12993
26226,   Germany,,276,B,   Iran (Islamic Republic of),364,63287
26227,   Germany,,276,B,   Iraq,368,88605
26228,   Germany,,276,B,   Ireland,372,6864
26229,   Germany,,276,B,   Israel,376,6222
26230,   Germany,,276,B,   Italy,380,277487
26231,   Germany,,276,B,   Jamaica,388,1392
26232,   Germany,,276,B,   Japan,392,22790
26233,   Germany,,276,B,   Jordan,400,5377
26234,   Germany,,276,B,   Kazakhstan,398,606000
26235,   Germany,,276,B,   Kenya,404,12107
26236,   Germany,,276,B,   Kyrgyzstan,417,53580
26237,   Germany,,276,B,   Lao People's Democratic Republic,418,2412
26238,   Germany,,276,B,   Latvia,428,21507
26239,   Germany,,276,B,   Lebanon,422,35533
26240,   Germany,,276,B,   Liberia,430,613
26241,   Germany,,276,B,   Libya,434,5017
26242,   Germany,,276,B,   Liechtenstein,438,191
26243,   Germany,,276,B,   Lithuania,440,34178
26244,   Germany,,276,B,   Luxembourg,442,11423
26245,   Germany,,276,B,   Madagascar,450,1312
26246,   Germany,,276,B,   Malaysia*,458,3657
26247,   Germany,,276,B,   Mali,466,1028
26248,   Germany,,276,B,   Malta,470,432
26249,   Germany,,276,B,   Mexico,484,11698
26250,   Germany,,276,B,   Montenegro,499,8284
26251,   Germany,,276,B,   Morocco,504,58261
26252,   Germany,,276,B,   Myanmar,104,889
26253,   Germany,,276,B,   Nepal,524,3111
26254,   Germany,,276,B,   Netherlands*,528,77168
26255,   Germany,,276,B,   New Zealand*,554,1500
26256,   Germany,,276,B,   Nicaragua,558,917
26257,   Germany,,276,B,   Niger,562,280
26258,   Germany,,276,B,   Nigeria,566,19284
26259,   Germany,,276,B,   North Macedonia,807,53219
26260,   Germany,,276,B,   Norway*,578,5397
26261,   Germany,,276,B,   Pakistan,586,25234
26262,   Germany,,276,B,   Panama,591,472
26263,   Germany,,276,B,   Paraguay,600,3574
26264,   Germany,,276,B,   Peru,604,13734
26265,   Germany,,276,B,   Philippines,608,43298
26266,   Germany,,276,B,   Poland,616,1085458
26267,   Germany,,276,B,   Portugal,620,70955
26268,   Germany,,276,B,   Republic of Korea,410,19848
26269,   Germany,,276,B,   Republic of Moldova*,498,14757
26270,   Germany,,276,B,   Romania,642,318916
26271,   Germany,,276,B,   Russian Federation,643,715525
26272,   Germany,,276,B,   Rwanda,646,667
26273,   Germany,,276,B,   Saudi Arabia,682,2151
26274,   Germany,,276,B,   Senegal,686,1801
26275,   Germany,,276,B,   Serbia*,688,100842
26276,   Germany,,276,B,   Sierra Leone,694,989
26277,   Germany,,276,B,   Singapore,702,2023
26278,   Germany,,276,B,   Slovakia,703,33927
26279,   Germany,,276,B,   Slovenia,705,22324
26280,   Germany,,276,B,   Somalia,706,12754
26281,   Germany,,276,B,   South Africa,710,10979
26282,   Germany,,276,B,   Spain*,724,94170
26283,   Germany,,276,B,   Sri Lanka,144,25394
26284,   Germany,,276,B,   Sudan,729,2211
26285,   Germany,,276,B,   Sweden,752,12335
26286,   Germany,,276,B,   Switzerland,756,51673
26287,   Germany,,276,B,   Syrian Arab Republic,760,268302
26288,   Germany,,276,B,   Tajikistan,762,14689
26289,   Germany,,276,B,   Thailand,764,73827
26290,   Germany,,276,B,   Togo,768,6840
26291,   Germany,,276,B,   Trinidad and Tobago,780,592
26292,   Germany,,276,B,   Tunisia,788,15336
26293,   Germany,,276,B,   Turkey,792,901486
26294,   Germany,,276,B,   Turkmenistan,795,4142
26295,   Germany,,276,B,   Uganda,800,1589
26296,   Germany,,276,B,   Ukraine*,804,181542
26297,   Germany,,276,B,   United Kingdom*,826,45853
26298,   Germany,,276,B,   United Republic of Tanzania*,834,890
26299,   Germany,,276,B,   United States of America*,840,67256
26300,   Germany,,276,B,   Uruguay,858,2006
26301,   Germany,,276,B,   Uzbekistan,860,26218
26302,   Germany,,276,B,   Venezuela (Bolivarian Republic of),862,5817
26303,   Germany,,276,B,   Viet Nam,704,68872
26304,   Germany,,276,B,   Yemen,887,1511
26305,   Germany,,276,B,   Zambia,894,677
26306,   Germany,,276,B,Other,2003,59268
